Date,MSFT,AAPL,XOM,BP,SBUX
8/1/2015,-0.07052347,-0.071587077,-0.051419581,-0.097367885,-0.034776822
9/1/2015,0.023433427,-0.01895955,-0.002586384,-0.076490231,0.018535276
10/1/2015,0.173395019,0.080112483,0.106919389,0.155458711,0.096045499
11/1/2015,0.031968023,-0.010092505,-0.013138597,-0.031297043,-0.01903905
12/1/2015,0.027295932,-0.112519092,-0.037817252,-0.08526692,-0.019169834
1/1/2016,-0.007054373,-0.078223663,-0.001283663,0.034892661,0.012251843
2/1/2016,-0.079498308,-0.006699599,0.029116047,-0.106837544,-0.04303914
3/1/2016,0.089190667,0.125157373,0.051059341,0.057727984,0.028537604
4/1/2016,-0.102086766,-0.150731163,0.055948011,0.106751225,-0.05988152
5/1/2016,0.060872234,0.063244338,0.006989151,-0.06712265,-0.024119322
6/1/2016,-0.028168463,-0.037526337,0.060033178,0.141605741,0.043315897
7/1/2016,0.102268005,0.086235334,-0.052450492,-0.031757466,0.016150319
8/1/2016,0.01366777,0.01797377,-0.020558587,-0.015822385,-0.031854083
9/1/2016,0.008646754,0.068850818,0.010096724,0.055774672,-0.034400738
10/1/2016,0.039487735,0.004324885,-0.046432715,0.011031131,-0.019961448
11/1/2016,0.005658235,-0.02695866,0.046661975,-0.015306523,0.088313893
12/1/2016,0.037454163,0.051961807,0.042159618,0.083296,-0.038560927
1/1/2017,0.039598263,0.046641614,-0.073187931,-0.03817248,-0.005418045
2/1/2017,-0.010417492,0.121229302,-0.031114332,-0.058958336,0.029442727
3/1/2017,0.035004783,0.051867587,0.017551675,0.034890357,0.030872577
4/1/2017,0.038718087,-6.97487E-05,-0.0043993,-0.005810547,0.028199565
5/1/2017,0.019957634,0.061488322,-0.014184607,0.051948589,0.057426634
6/1/2017,-0.007399793,-0.054796586,0.012251924,-0.025260231,-0.082886216
7/1/2017,0.053249834,0.032180149,-0.008583688,0.014042142,-0.077160058
8/1/2017,0.028075148,0.097734035,-0.04746057,-0.011736153,0.016170868
9/1/2017,0.001562067,-0.058215831,0.081055478,0.117791143,-0.016681234
10/1/2017,0.1103422,0.092403866,0.016573338,0.056652333,0.020820672
11/1/2017,0.011831393,0.016486787,-0.000720194,-0.014862735,0.05291484
12/1/2017,0.021155161,-0.011774948,0.013405684,0.062354476,-0.001484351
1/1/2018,0.104998143,-0.010693326,0.042828564,0.017920751,-0.010854442
2/1/2018,-0.013137358,0.061892263,-0.142044053,-0.096338651,0.005091813
3/1/2018,-0.022336339,-0.05573523,-0.004857948,0.05729746,0.019149787
4/1/2018,0.024353123,-0.015133606,0.041223827,0.095220665,-0.005543068
5/1/2018,0.055327082,0.122893205,0.043909216,0.027210833,-0.015756709
6/1/2018,0.001995375,-0.005614185,0.028259539,0.009410848,-0.143274946
7/1/2018,0.073020884,0.027598848,-0.014856532,-0.012562002,0.069961427
8/1/2018,0.057247449,0.179172338,-0.016576552,-0.050254945,0.02003084
9/1/2018,0.021838794,-0.004836601,0.068998808,0.086283182,0.068431493
10/1/2018,-0.068387326,-0.030951582,-0.064867728,-0.061045017,0.024847037
11/1/2018,0.037487168,-0.203395606,-0.002261616,-0.072176654,0.135417452
12/1/2018,-0.083479788,-0.120605432,-0.143372844,-0.047744146,-0.030036456
1/1/2019,0.027768863,0.053686649,0.071989716,0.081016066,0.056450881
2/1/2019,0.070249652,0.039523463,0.075539777,0.036532695,0.03063822
3/1/2019,0.055671013,0.096882229,0.033190475,0.039306543,0.061651695
4/1/2019,0.10196325,0.054900896,-0.006456515,0.000228682,0.043948838
5/1/2019,-0.054441708,-0.136475889,-0.12608544,-0.071315066,-0.02107545
6/1/2019,0.083538439,0.12652057,0.09095073,0.038434433,0.101896944
7/1/2019,0.01709707,0.07361712,-0.030070427,-0.048142842,0.121817472
8/1/2019,0.011600334,-0.020390493,-0.082376419,-0.072792625,0.019556137
9/1/2019,0.011775478,0.07421488,0.042987306,0.044271158,-0.084283267
10/1/2019,0.030738999,0.104976437,-0.044007697,-0.002108138,-0.044636897
11/1/2019,0.054364514,0.071696006,0.008253474,-0.013009649,0.010236036
12/1/2019,0.04429822,0.097201791,0.035917593,0.024247598,0.033716256
1/1/2020,0.027704038,0.062791719,-0.008346602,0.028214985,0.034322301
